trap,year,month,spec,number,wnv
T002,2007,5,CULEX SALINARIUS,0.0,0.0
T002,2007,5,CULEX TARSALIS,0.0,0.0
T002,2007,5,CULEX PIPIENS,0.0,0.0
T002,2007,5,CULEX RESTUANS,1.0,0.0
T002,2007,5,CULEX TERRITANS,0.0,0.0
T002,2007,5,CULEX ERRATICUS,0.0,0.0
T002,2007,5,CULEX PIPIENS/RESTUANS,1.0,0.0
T002,2007,6,CULEX SALINARIUS,1.0,0.0
T002,2007,6,CULEX TARSALIS,0.0,0.0
T002,2007,6,CULEX PIPIENS,1.0,0.0
T002,2007,6,CULEX RESTUANS,9.0,0.0
T002,2007,6,CULEX TERRITANS,0.0,0.0
T002,2007,6,CULEX ERRATICUS,0.0,0.0
T002,2007,6,CULEX PIPIENS/RESTUANS,9.0,0.0
T002,2007,7,CULEX SALINARIUS,0.0,0.0
T002,2007,7,CULEX TARSALIS,0.0,0.0
T002,2007,7,CULEX PIPIENS,74.0,0.0
T002,2007,7,CULEX RESTUANS,30.0,0.0
T002,2007,7,CULEX TERRITANS,0.0,0.0
T002,2007,7,CULEX ERRATICUS,0.0,0.0
T002,2007,7,CULEX PIPIENS/RESTUANS,152.0,1.0
T002,2007,8,CULEX SALINARIUS,0.0,0.0
T002,2007,8,CULEX TARSALIS,0.0,0.0
T002,2007,8,CULEX PIPIENS,254.0,1.0
T002,2007,8,CULEX RESTUANS,5.0,0.0
T002,2007,8,CULEX TERRITANS,1.0,0.0
T002,2007,8,CULEX ERRATICUS,0.0,0.0
T002,2007,8,CULEX PIPIENS/RESTUANS,204.0,1.0
T002,2007,9,CULEX SALINARIUS,0.0,0.0
T002,2007,9,CULEX TARSALIS,0.0,0.0
T002,2007,9,CULEX PIPIENS,10.0,0.0
T002,2007,9,CULEX RESTUANS,76.0,0.0
T002,2007,9,CULEX TERRITANS,0.0,0.0
T002,2007,9,CULEX ERRATICUS,0.0,0.0
T002,2007,9,CULEX PIPIENS/RESTUANS,397.0,0.0
T002,2007,10,CULEX SALINARIUS,0.0,0.0
T002,2007,10,CULEX TARSALIS,0.0,0.0
T002,2007,10,CULEX PIPIENS,7.0,0.0
T002,2007,10,CULEX RESTUANS,22.0,0.0
T002,2007,10,CULEX TERRITANS,0.0,0.0
T002,2007,10,CULEX ERRATICUS,0.0,0.0
T002,2007,10,CULEX PIPIENS/RESTUANS,229.0,1.0
T002,2009,5,CULEX SALINARIUS,0.0,0.0
T002,2009,5,CULEX TARSALIS,0.0,0.0
T002,2009,5,CULEX PIPIENS,0.0,0.0
T002,2009,5,CULEX RESTUANS,0.0,0.0
T002,2009,5,CULEX TERRITANS,0.0,0.0
