,index,Trap,Latitude,Longitude
0,0,T002,41.95469,-87.800991
2,3,T015,41.974089,-87.824812
3,5,T045,41.9216,-87.666455
6,9,T049,41.896282,-87.655232
9,13,T086,41.688324,-87.676709
12,17,T096,41.731922,-87.677512
14,21,T143,41.999128999999996,-87.795585
18,50,T009,41.981964000000005,-87.812827
19,51,T011,41.944869,-87.832763
20,52,T016,42.011601,-87.81150600000001
23,55,T028,41.986921,-87.689778
26,58,T089,41.723195000000004,-87.64997
27,59,T090,41.868077,-87.666901
31,67,T142,41.953067,-87.776792
39,78,T154,41.918704999999996,-87.752329
45,137,T003,41.964242,-87.757639
46,138,T006,41.990284,-87.797127
59,192,T013,41.923738,-87.785288
60,193,T014,41.970248,-87.787992
65,200,T160,41.903002,-87.68826700000001
66,270,T005,41.942114000000004,-87.776385
69,274,T095,41.704336,-87.70373599999999
71,389,T035,41.836644,-87.677737
75,394,T061,41.801179,-87.679447
91,419,T082,41.803422999999995,-87.642984
102,552,T215,41.686398,-87.531635
103,685,T107,41.729669,-87.582699
107,1288,T097,41.644612,-87.60449799999999
112,1317,T027,41.984809000000006,-87.728492
115,2184,T221,41.659112,-87.53869300000001
116,3867,T009,41.992478000000006,-87.862995
117,3868,T900,41.974689,-87.890615
118,3975,T903,41.957799,-87.930995
120,4883,T223,41.973845000000004,-87.805059
121,4884,T225,41.743402,-87.731435
122,4887,T227,41.728495,-87.60096300000001
124,4979,T226,41.793818,-87.654234
126,5333,T230,41.904194,-87.756155
127,5521,T228,41.951865999999995,-87.72505699999999
128,6120,T232,41.912563,-87.66805500000001
129,6223,T035,41.763733,-87.742302
130,6225,T231,41.98728,-87.666066
131,6228,T235,41.776428,-87.627096
132,7343,T233,42.009876,-87.807277
