,Trap,Latitude,Longitude
0,T096,41.731922,-87.677512
1,T002,41.95469,-87.800991
2,T015,41.974089,-87.824812
3,T048,41.867108,-87.654224
4,T050,41.919343,-87.694259
5,T054,41.921965,-87.632085
6,T086,41.688324,-87.676709
7,T129,41.891126,-87.61156
8,T143,41.999128999999996,-87.795585
9,T148,42.01743,-87.68776899999999
11,T007,41.994991,-87.769279
13,T045,41.9216,-87.666455
14,T046,41.891118,-87.65449100000001
16,T049,41.896282,-87.655232
19,T091,41.862292,-87.64886
20,T094,41.720848,-87.666014
23,T153,41.907645,-87.760886
24,T159,41.732984,-87.649642
29,T135,41.662014,-87.72460799999999
32,T031,41.801497999999995,-87.763416
36,T090,41.868077,-87.666901
37,T092,41.869215999999994,-87.627561
41,T141,41.961743,-87.76007
42,T142,41.953067,-87.776792
44,T146,41.958271,-87.702575
45,T149,41.994469,-87.667736
46,T151,41.916265,-87.800515
47,T158,41.682587,-87.707973
48,T162,41.725516999999996,-87.61425799999999
49,T218,41.948167,-87.730698
51,T009,41.981964000000005,-87.812827
52,T011,41.944869,-87.832763
54,T016,42.011601,-87.81150600000001
55,T019,41.94983,-87.69845699999999
56,T025,41.979243,-87.750938
57,T028,41.986921,-87.689778
58,T033,41.906638,-87.701431
66,T089,41.723195000000004,-87.64997
73,T145,41.878114000000004,-87.629798
75,T147,41.932094,-87.700117
76,T150,42.006858,-87.675919
78,T152,41.846075,-87.716277
80,T154,41.918704999999996,-87.752329
84,T220,41.963976,-87.69181
85,T088,41.869107,-87.69629300000001
88,T001,41.953705,-87.733974
90,T006,41.990284,-87.797127
93,T012,41.991429,-87.747113
98,T040,41.852652,-87.719887
101,T047,41.868142,-87.696269
103,T051,41.846283,-87.656913
113,T161,41.719059,-87.675088
115,T003,41.964242,-87.757639
118,T008,42.008314,-87.77792099999999
125,T034,41.843810999999995,-87.686763
126,T037,41.921177,-87.79518
128,T043,41.857402,-87.694991
134,T085,41.721474,-87.648064
151,T219,41.966986999999996,-87.674677
160,T013,41.923738,-87.785288
164,T030,41.899229999999996,-87.716788
167,T084,41.692555,-87.598865
171,T144,41.94016,-87.794896
174,T160,41.903002,-87.68826700000001
176,T014,41.970248,-87.787992
178,T018,42.010412,-87.66214000000001
203,T005,41.942114000000004,-87.776385
210,T017,41.960615999999995,-87.777189
216,T044,41.883284,-87.705085
227,T095,41.704336,-87.70373599999999
281,T060,41.823065,-87.67837800000001
282,T061,41.801179,-87.679447
283,T062,41.800737,-87.71188000000001
284,T065,41.778296999999995,-87.752411
285,T082,41.803422999999995,-87.642984
298,T004,41.962728000000006,-87.748367
313,T035,41.836644,-87.677737
314,T036,41.837084999999995,-87.729384
316,T039,41.911823999999996,-87.726737
327,T066,41.77166,-87.703047
328,T067,41.759346,-87.745602
329,T069,41.768388,-87.678649
330,T070,41.797616,-87.797894
331,T071,41.781416,-87.77653199999999
332,T073,41.773215,-87.60088
333,T079,41.766202,-87.562889
334,T080,41.754676,-87.612922
335,T081,41.821582,-87.62779599999999
337,T083,41.754292,-87.590773
348,T114,41.798697,-87.736812
357,T155,41.776156,-87.778927
383,T074,41.822536,-87.66634300000001
384,T076,41.794781,-87.615989
385,T077,41.778748,-87.586427
409,T075,41.799282,-87.585487
428,T063,41.82561,-87.726549
433,T200,41.678618,-87.559308
434,T206,41.737052,-87.54306700000001
435,T209,41.740641,-87.546587
436,T212,41.680946,-87.535198
437,T215,41.686398,-87.531635
471,T115,41.673408,-87.599862
472,T138,41.726465000000005,-87.585413
563,T107,41.729669,-87.582699
565,T128,41.704572,-87.56566600000001
609,T072,41.74785,-87.70271600000001
716,T099,41.733643,-87.55551
717,T100,41.717753,-87.531657
718,T102,41.750498,-87.605294
719,T103,41.702723999999996,-87.536497
740,T156,41.772846,-87.740029
741,T157,41.825902,-87.667827
764,T027,41.984809000000006,-87.728492
797,T078,41.775051,-87.65535600000001
813,T097,41.644612,-87.60449799999999
1462,T221,41.659112,-87.53869300000001
2810,T009GAS,41.992478000000006,-87.862995
2830,T900,41.974689,-87.890615
2922,T903,41.957799,-87.930995
3554,T222,41.925197999999995,-87.746381
3555,T223,41.973845000000004,-87.805059
3556,T225,41.743402,-87.731435
3615,T227,41.728495,-87.60096300000001
3720,T226,41.793818,-87.654234
3746,T224,41.947227000000005,-87.67145699999999
3951,T229,41.753411,-87.63981700000001
4002,T230,41.904194,-87.756155
4175,T228,41.951865999999995,-87.72505699999999
4704,T232,41.912563,-87.66805500000001
4744,T035GAS,41.763733,-87.742302
4773,T231,41.98728,-87.666066
4775,T235,41.776428,-87.627096
5677,T233,42.009876,-87.807277
5842,T236,41.994679,-87.770899
6023,T237,41.738903,-87.69544300000001
6152,T238,41.753391,-87.707394
6863,T094B,41.71914,-87.669539
7547,T054C,41.925652,-87.63359
