,Date,Week,Species,Trap,Latitude,Longitude,NumMosquitos,WnvPresent
487,2007-07-18,29,CULEX PIPIENS/RESTUANS,T215,41.686398,-87.531635,63,1
564,2007-07-25,30,CULEX PIPIENS,T115,41.673408,-87.599862,2356,1
568,2007-07-25,30,CULEX PIPIENS/RESTUANS,T115,41.673408,-87.599862,644,1
663,2007-08-01,31,CULEX PIPIENS,T008,42.008314,-87.77792099999999,72,1
715,2007-08-01,31,CULEX PIPIENS,T096,41.731922,-87.677512,17,1
725,2007-08-01,31,CULEX PIPIENS,T135,41.662014,-87.72460799999999,67,1
730,2007-08-01,31,CULEX PIPIENS,T144,41.94016,-87.794896,11,1
748,2007-08-01,31,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,104,1
758,2007-08-01,31,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,11,1
786,2007-08-01,31,CULEX PIPIENS/RESTUANS,T065,41.778296999999995,-87.752411,31,1
800,2007-08-01,31,CULEX PIPIENS/RESTUANS,T081,41.821582,-87.62779599999999,20,1
801,2007-08-01,31,CULEX PIPIENS/RESTUANS,T082,41.803422999999995,-87.642984,69,1
805,2007-08-01,31,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,223,1
808,2007-08-01,31,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,61,1
817,2007-08-01,31,CULEX PIPIENS/RESTUANS,T103,41.702723999999996,-87.536497,378,1
823,2007-08-01,31,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.72460799999999,89,1
824,2007-08-01,31,CULEX PIPIENS/RESTUANS,T138,41.726465000000005,-87.585413,219,1
848,2007-08-01,31,CULEX PIPIENS/RESTUANS,T220,41.963976,-87.69181,2,1
939,2007-08-02,31,CULEX PIPIENS,T138,41.726465000000005,-87.585413,712,1
960,2007-08-02,31,CULEX PIPIENS/RESTUANS,T096,41.731922,-87.677512,20,1
978,2007-08-02,31,CULEX PIPIENS/RESTUANS,T212,41.680946,-87.535198,113,1
1012,2007-08-07,32,CULEX PIPIENS,T008,42.008314,-87.77792099999999,70,1
1014,2007-08-07,32,CULEX PIPIENS,T011,41.944869,-87.832763,43,1
1016,2007-08-07,32,CULEX PIPIENS,T014,41.970248,-87.787992,44,1
1017,2007-08-07,32,CULEX PIPIENS,T015,41.974089,-87.824812,26,1
1018,2007-08-07,32,CULEX PIPIENS,T016,42.011601,-87.81150600000001,37,1
1044,2007-08-07,32,CULEX PIPIENS,T082,41.803422999999995,-87.642984,8,1
1062,2007-08-07,32,CULEX PIPIENS,T143,41.999128999999996,-87.795585,29,1
1077,2007-08-07,32,CULEX PIPIENS,T162,41.725516999999996,-87.61425799999999,7,1
1088,2007-08-07,32,CULEX PIPIENS/RESTUANS,T011,41.944869,-87.832763,28,1
1144,2007-08-07,32,CULEX PIPIENS/RESTUANS,T143,41.999128999999996,-87.795585,15,1
1182,2007-08-07,32,CULEX RESTUANS,T160,41.903002,-87.68826700000001,1,1
1186,2007-08-08,32,CULEX PIPIENS,T103,41.702723999999996,-87.536497,110,1
1188,2007-08-08,32,CULEX PIPIENS,T115,41.673408,-87.599862,1310,1
1190,2007-08-08,32,CULEX PIPIENS,T138,41.726465000000005,-87.585413,1658,1
1193,2007-08-08,32,CULEX PIPIENS/RESTUANS,T115,41.673408,-87.599862,315,1
1194,2007-08-08,32,CULEX PIPIENS/RESTUANS,T128,41.704572,-87.56566600000001,80,1
1202,2007-08-09,32,CULEX PIPIENS,T209,41.740641,-87.546587,41,1
1219,2007-08-15,33,CULEX PIPIENS,T003,41.964242,-87.757639,55,1
1221,2007-08-15,33,CULEX PIPIENS,T006,41.990284,-87.797127,20,1
1222,2007-08-15,33,CULEX PIPIENS,T008,42.008314,-87.77792099999999,12,1
1223,2007-08-15,33,CULEX PIPIENS,T009,41.981964000000005,-87.812827,27,1
1224,2007-08-15,33,CULEX PIPIENS,T011,41.944869,-87.832763,25,1
1225,2007-08-15,33,CULEX PIPIENS,T012,41.991429,-87.747113,16,1
1228,2007-08-15,33,CULEX PIPIENS,T015,41.974089,-87.824812,11,1
1229,2007-08-15,33,CULEX PIPIENS,T016,42.011601,-87.81150600000001,118,1
1238,2007-08-15,33,CULEX PIPIENS,T033,41.906638,-87.701431,14,1
1248,2007-08-15,33,CULEX PIPIENS,T048,41.867108,-87.654224,3,1
1254,2007-08-15,33,CULEX PIPIENS,T061,41.801179,-87.679447,35,1
1258,2007-08-15,33,CULEX PIPIENS,T066,41.77166,-87.703047,20,1
1263,2007-08-15,33,CULEX PIPIENS,T074,41.822536,-87.66634300000001,39,1
1268,2007-08-15,33,CULEX PIPIENS,T082,41.803422999999995,-87.642984,79,1
1287,2007-08-15,33,CULEX PIPIENS,T114,41.798697,-87.736812,23,1
1292,2007-08-15,33,CULEX PIPIENS,T142,41.953067,-87.776792,9,1
